,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_importance
ResidenceInstitu_dummy,0.8558281064033508,0.957474946975708,0.0,0.8921486735343933,0.7913928031921387,0.9299338459968567,0.9140632152557373,0.7323436141014099,0.8717979788780212,0.9233863949775696,0.7868369579315185
ResidenceOthers_dummy,0.9963035583496094,1.6726080179214478,1.4494342803955078,0.9527717232704163,1.2624800205230713,1.5259698629379272,1.1307833194732666,1.5734665393829346,1.0822213888168335,1.3813079595565796,1.3027346670627593
Respon_Female,1.395437479019165,1.4008196592330933,1.3698712587356567,1.3783202171325684,1.4079331159591675,1.3873447179794312,1.4006530046463013,1.3234748840332031,1.3698346614837646,1.3687851428985596,1.380247414112091
IncomeResWage_dummy,1.3936182260513306,1.3923983573913574,1.4029890298843384,1.3988150358200073,1.373506784439087,1.4126739501953125,1.3621559143066406,1.3921955823898315,1.3864190578460693,1.3878991603851318,1.3902671098709107
SavingMembership,1.3902744054794312,1.368420124053955,1.4207518100738525,1.4451805353164673,1.4056142568588257,1.4228869676589966,1.4199442863464355,1.3812177181243896,1.422214150428772,1.4089229106903076,1.4085427165031432
Remittance_dummy,1.4102163314819336,1.3502717018127441,1.4415504932403564,1.438578724861145,1.4645570516586304,1.4471653699874878,1.429215431213379,1.4163575172424316,1.4015681743621826,1.447353482246399,1.424683427810669
RegularSaving,1.3980374336242676,1.412290334701538,1.4063845872879028,1.4350720643997192,1.447791576385498,1.4273912906646729,1.4175728559494019,1.3915585279464722,1.454095482826233,1.4601236581802368,1.4250317811965942
PC_dummy,1.405126690864563,1.3649235963821411,1.4560145139694214,1.421349048614502,1.5101343393325806,1.5300407409667969,1.4057798385620117,1.3626787662506104,1.3838627338409424,1.416142225265503,1.4256052494049072
Motorbike_dummy,1.3697125911712646,1.4523850679397583,1.424072265625,1.4300482273101807,1.4677163362503052,1.4462398290634155,1.44736647605896,1.4209705591201782,1.413348913192749,1.3917872905731201,1.4263647556304933
ResidInfraSemi_dummy,1.4347612857818604,1.388213038444519,1.4461630582809448,1.492645025253296,1.4631208181381226,1.471490740776062,1.4394453763961792,1.4176031351089478,1.4072997570037842,1.4626946449279785,1.4423436880111695
Edu_Illiterate,1.467626690864563,1.4416017532348633,1.466204285621643,1.5207233428955078,1.4861564636230469,1.4998204708099365,1.4780734777450562,1.4541085958480835,1.4494627714157104,1.4790371656417847,1.4742815017700195
Edu_Literal,1.427176594734192,1.5077100992202759,1.4816391468048096,1.5031931400299072,1.5176072120666504,1.5365344285964966,1.555955410003662,1.46348237991333,1.4432940483093262,1.4962406158447266,1.4932833075523377
Phone_dummy,1.4650462865829468,1.5438258647918701,1.403188705444336,1.5661083459854126,1.554999589920044,1.5089292526245117,1.4607884883880615,1.5986669063568115,1.4754297733306885,1.5578900575637817,1.5134873270988465
Mobile_dummy,1.5777158737182617,1.5769046545028687,1.5578546524047852,1.5937525033950806,1.518386721611023,1.6135777235031128,1.5750473737716675,1.4933854341506958,1.5866823196411133,1.5809786319732666,1.5674285888671875
IncomeResRemit_dummy,1.580447793006897,1.559678077697754,1.6065987348556519,1.6071656942367554,1.5624866485595703,1.5965646505355835,1.544050693511963,1.564755916595459,1.5357768535614014,1.5577703714370728,1.5715295433998109
U18_Ratio,1.5802088975906372,1.5717629194259644,1.5870282649993896,1.5892949104309082,1.5828337669372559,1.5821948051452637,1.5634483098983765,1.5740796327590942,1.5711058378219604,1.586704969406128,1.5788662314414978
Edu_year,1.5782393217086792,1.5786195993423462,1.5559189319610596,1.6187384128570557,1.5998729467391968,1.618539810180664,1.5982906818389893,1.5776057243347168,1.5550068616867065,1.591478705406189,1.5872310996055603
A65_Ratio,1.5936856269836426,1.6065253019332886,1.590592384338379,1.6132386922836304,1.6310677528381348,1.6155000925064087,1.578409194946289,1.5543928146362305,1.6097413301467896,1.6074028015136719,1.6000555992126464
Radio_dummy,1.65834379196167,1.6200029850006104,1.5354750156402588,1.6404362916946411,1.6249892711639404,1.6613770723342896,1.5801963806152344,1.6298314332962036,1.5658975839614868,1.6238479614257812,1.6140397787094116
Edu12_Ratio,1.6311376094818115,1.6006333827972412,1.624226689338684,1.6474789381027222,1.6336156129837036,1.6779969930648804,1.610021710395813,1.6045185327529907,1.6175564527511597,1.6175527572631836,1.626473867893219
