,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_importance
ResidInfraOthers_dummy,0.6516653299331665,0.7292368412017822,1.166752576828003,0.7502211928367615,0.6217729449272156,0.5048173666000366,0.5824541449546814,0.9312162399291992,0.0,0.5298096537590027,0.6467946290969848
DisasterDieInd,0.5905584096908569,0.5224511623382568,0.7498593926429749,0.8002720475196838,0.666724681854248,0.6787607073783875,0.9346651434898376,0.6944894194602966,1.179042100906372,1.2321962118148804,0.8049019277095795
Respon_Female,1.0365875959396362,1.083080768585205,1.0411114692687988,1.027815818786621,1.04557466506958,1.0389600992202759,1.03142249584198,0.9841863512992859,0.9435964822769165,1.025644302368164,1.0257980048656463
IncomeResWage_dummy,1.043723464012146,1.0045117139816284,0.9766251444816589,1.0683963298797607,1.0770835876464844,1.0907591581344604,1.0300291776657104,1.107128620147705,1.0234988927841187,1.049064040184021,1.0470820128917695
Motorbike_dummy,1.0200254917144775,1.2443069219589233,1.098361849784851,1.2213603258132935,1.20688796043396,1.007405400276184,1.038543701171875,0.9542080163955688,1.0308082103729248,0.9875025153160095,1.0809410393238068
ResidenceOthers_dummy,1.321557879447937,1.0999122858047485,1.24887216091156,0.5720445513725281,0.9112609624862671,1.1558523178100586,2.04914927482605,1.0255833864212036,0.887445330619812,0.5591195821762085,1.0830797731876374
Edu_Literal,1.0521987676620483,1.0827174186706543,1.0964611768722534,1.1808558702468872,1.0944956541061401,1.2172847986221313,1.127941370010376,1.1750909090042114,1.1687995195388794,1.1937761306762695,1.138962161540985
Remittance_dummy,1.061051845550537,1.1631015539169312,1.0838156938552856,1.1575318574905396,1.188124179840088,1.182397723197937,1.1592706441879272,1.2348719835281372,1.1510987281799316,1.129878044128418,1.1511142253875732
A65_Ratio,1.23578679561615,1.1751641035079956,1.1691926717758179,1.2093734741210938,1.2119921445846558,1.2004679441452026,1.1185954809188843,1.1684489250183105,1.1994881629943848,1.1727030277252197,1.1861212730407715
Respon_Age,1.2103848457336426,1.2030062675476074,1.2004146575927734,1.1836961507797241,1.2001346349716187,1.1980053186416626,1.2030874490737915,1.1787103414535522,1.1801142692565918,1.2114521265029907,1.1969006061553955
U18_Ratio,1.1858478784561157,1.2121787071228027,1.2424019575119019,1.2176977396011353,1.1768463850021362,1.1825577020645142,1.2355924844741821,1.263672113418579,1.170956015586853,1.2023221254348755,1.2090073108673096
Female_Ratio,1.2430464029312134,1.217961072921753,1.214492678642273,1.248500943183899,1.239635944366455,1.1846330165863037,1.2175002098083496,1.2111787796020508,1.15463125705719,1.18925142288208,1.2120831727981567
SavingMembership,1.242023229598999,1.1903440952301025,1.1739475727081299,1.2668126821517944,1.238455057144165,1.250238060951233,1.1478073596954346,1.252345085144043,1.2441260814666748,1.1997126340866089,1.2205811858177185
AgriSupport,1.2445741891860962,1.2855464220046997,1.2542152404785156,1.3322938680648804,1.1814690828323364,1.1571767330169678,1.1888298988342285,1.2210400104522705,1.2087775468826294,1.19743812084198,1.2271361112594605
ResidenceRent_dummy,1.048834204673767,1.0789955854415894,1.302762746810913,1.4462006092071533,1.28886079788208,1.176828384399414,1.1782095432281494,1.1983463764190674,1.235944390296936,1.3289649486541748,1.2283947587013244
LivingYear,1.2454811334609985,1.2826695442199707,1.2368195056915283,1.2863926887512207,1.292952537536621,1.2520089149475098,1.2386051416397095,1.2393275499343872,1.3034225702285767,1.2251241207122803,1.2602803707122803
HeardClimate_Dummy,1.324491024017334,1.3445137739181519,1.2704635858535767,1.3250681161880493,1.281071424484253,1.1957694292068481,1.2401208877563477,1.3656151294708252,1.1978988647460938,1.2869794368743896,1.283199167251587
Edu12_Ratio,1.299588918685913,1.3051754236221313,1.2561733722686768,1.3336924314498901,1.2829375267028809,1.3225717544555664,1.3329106569290161,1.3166108131408691,1.2278815507888794,1.2709629535675049,1.2948505401611328
IncomeResNonAgriBusi_dummy,1.257750153541565,1.2599159479141235,1.2959764003753662,1.2769360542297363,1.3079255819320679,1.2671141624450684,1.2576805353164673,1.3741717338562012,1.3898690938949585,1.2663655281066895,1.2953705191612244
ResidInfraSemi_dummy,1.15211820602417,1.2650814056396484,1.2347441911697388,1.4243593215942383,1.3497645854949951,1.321983814239502,1.3041801452636719,1.3846638202667236,1.2804194688796997,1.2524272203445435,1.2969742178916932
Edu_year,1.260355830192566,1.3586432933807373,1.2652472257614136,1.3396621942520142,1.32936429977417,1.3065006732940674,1.2937062978744507,1.296066403388977,1.3578822612762451,1.342244267463684,1.3149672746658325
TV_dummy,1.3586372137069702,1.2088700532913208,1.4476321935653687,1.3344597816467285,1.2652597427368164,1.203433632850647,1.4457948207855225,1.499902606010437,1.202883243560791,1.2728863954544067,1.323975968360901
Edu_Illiterate,1.3203788995742798,1.3468023538589478,1.323737382888794,1.3161029815673828,1.3887864351272583,1.293892741203308,1.3152340650558472,1.423850417137146,1.4067305326461792,1.171614408493042,1.3307130217552186
RegularSaving,1.4191575050354004,1.3245304822921753,1.273959994316101,1.433343529701233,1.3927578926086426,1.3195853233337402,1.3486201763153076,1.2072936296463013,1.4145874977111816,1.2867215871810913,1.3420557618141173
FramMechan,1.3897231817245483,1.366953730583191,1.3604832887649536,1.401464581489563,1.4800270795822144,1.3147956132888794,1.2611662149429321,1.3766266107559204,1.3285748958587646,1.3525723218917847,1.3632387518882751
ResidenceOwn_dummy,1.6563148498535156,1.2827448844909668,1.2877635955810547,1.4607455730438232,1.2717978954315186,1.8305054903030396,1.5666558742523193,1.2088574171066284,1.2334063053131104,1.047631025314331,1.3846422910690308
Car_dummy,1.3953583240509033,1.3942114114761353,1.6017131805419922,1.2449787855148315,1.3518872261047363,1.459407091140747,1.3633604049682617,1.3190423250198364,1.3839552402496338,1.3790593147277832,1.389297330379486
Literal_Ratio,1.3291147947311401,1.380798101425171,1.440704584121704,1.3677583932876587,1.462428331375122,1.3390148878097534,1.4247428178787231,1.4144096374511719,1.4596178531646729,1.3688527345657349,1.3987442135810852
IncomeResRemit_dummy,1.344366192817688,1.3790168762207031,1.4039688110351562,1.3933005332946777,1.3294544219970703,1.5434517860412598,1.3405271768569946,1.3679108619689941,1.5707937479019165,1.3506325483322144,1.4023422956466676
TotalIncome,1.3784565925598145,1.420469880104065,1.4108997583389282,1.3853394985198975,1.4440369606018066,1.4491016864776611,1.3951431512832642,1.4426629543304443,1.4347940683364868,1.4232442378997803,1.4184148788452149
Dist_HealthCenter,1.4338266849517822,1.4593756198883057,1.3641705513000488,1.401817798614502,1.4447495937347412,1.4370176792144775,1.4094032049179077,1.4128639698028564,1.4676660299301147,1.4236500263214111,1.4254541158676148
Radio_dummy,1.4502750635147095,1.4811320304870605,1.4841771125793457,1.4369804859161377,1.5650726556777954,1.3642452955245972,1.5127999782562256,1.230232834815979,1.457601547241211,1.4025710821151733,1.4385088086128235
HouseHead_AgriExpYear,1.4620320796966553,1.448853611946106,1.3893781900405884,1.4530627727508545,1.4431037902832031,1.3759511709213257,1.4879316091537476,1.4747458696365356,1.4479724168777466,1.4665480852127075,1.444957959651947
Dist_AgriSupport,1.456632137298584,1.4761625528335571,1.4575389623641968,1.4601200819015503,1.4414035081863403,1.4285176992416382,1.435651183128357,1.4502484798431396,1.4508699178695679,1.4449559450149536,1.4502100467681884
Dist_Market,1.4879318475723267,1.443631887435913,1.4641283750534058,1.4631896018981934,1.4709067344665527,1.423771619796753,1.4041202068328857,1.4607303142547607,1.4287351369857788,1.487425446510315,1.4534571170806885
Bike_dummy,1.355916976928711,1.4792472124099731,1.6498709917068481,1.4470701217651367,1.4451137781143188,1.3356925249099731,1.4475996494293213,1.8756418228149414,1.3799771070480347,1.5218451023101807,1.493797528743744
Dist_SecondarySchool,1.4490495920181274,1.500097393989563,1.4431421756744385,1.4990812540054321,1.5758838653564453,1.476821780204773,1.5396100282669067,1.5661745071411133,1.4532034397125244,1.4377474784851074,1.494081151485443
Net_dummy,1.7725762128829956,1.3078356981277466,1.5130935907363892,1.7300893068313599,1.5616881847381592,1.551352620124817,1.2697322368621826,1.3813672065734863,1.541887640953064,1.4552969932556152,1.5084919691085816
ClimateChanged_Dummy,1.549898386001587,1.70285964012146,1.499616265296936,1.3420593738555908,1.6500966548919678,1.6917059421539307,1.384840965270996,1.6315568685531616,1.7583258152008057,1.569238543510437,1.5780198454856873
IncomeResAgri_dummy,1.5890992879867554,1.506502389907837,1.69777250289917,1.9416749477386475,1.8198341131210327,1.837282419204712,1.5960150957107544,1.5760467052459717,1.7037065029144287,1.5614638328552246,1.6829397797584533
