,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,mean_importance
ResidInfraOthers_dummy,0.448699951171875,0.0,0.38022375106811523,0.6455492973327637,0.7348624467849731,1.0501281023025513,0.0,0.3507981300354004,0.0,0.0,0.36102616786956787
Respon_Female,0.8239132761955261,0.7685789465904236,0.8077565431594849,0.768104612827301,0.7924183011054993,0.8088229894638062,0.8093428611755371,0.8545807003974915,0.8131985664367676,0.8105154633522034,0.805723226070404
Motorbike_dummy,0.8787214159965515,0.8975492119789124,0.8744190335273743,0.895869791507721,0.914233386516571,0.688874363899231,1.0493344068527222,0.8357796669006348,0.8071171045303345,0.9124863743782043,0.8754384756088257
Bike_dummy,0.8735231757164001,0.8730140924453735,0.8766067624092102,0.8213064670562744,0.9101271629333496,0.8228923082351685,0.9355825781822205,0.9842567443847656,0.8015156984329224,0.9681363701820374,0.8866961359977722
Edu_Illiterate,0.9712186455726624,0.9651787281036377,0.9115833044052124,0.8901030421257019,0.9603772759437561,0.9366021752357483,0.8441099524497986,0.9114497900009155,0.8324376940727234,0.8201372623443604,0.9043197870254517
ResidenceRent_dummy,0.9999600052833557,0.5088927745819092,0.9082409739494324,1.1884047985076904,0.6551121473312378,1.0593900680541992,0.8751569390296936,0.9957131147384644,0.903836190700531,1.112816333770752,0.9207523345947266
PC_dummy,0.9280364513397217,1.0977774858474731,0.8982822299003601,0.863304853439331,1.0074846744537354,0.8744030594825745,0.9580361247062683,0.8646499514579773,0.9047783017158508,0.9635993838310242,0.9360352516174316
Remittance_dummy,0.9432583451271057,0.9325886964797974,0.9360998868942261,0.8648073077201843,0.9508737921714783,1.0272583961486816,0.9520896077156067,0.9832695722579956,0.9620479345321655,1.021401047706604,0.9573694586753845
Edu_Literal,1.0110149383544922,0.8637261390686035,1.0947729349136353,0.9283749461174011,0.8855869174003601,0.9813547134399414,0.9060229063034058,0.9704740047454834,0.9809756278991699,0.9888855218887329,0.9611188650131226
DisasterDieInd,1.23489511013031,1.1440250873565674,1.4980204105377197,0.5898360013961792,0.9708308577537537,0.9695990085601807,1.0290266275405884,0.6659776568412781,1.1242280006408691,1.0144379138946533,1.02408766746521
